Company Name,Rating,Location,Reviews,Salary,Jobs
TCS,3.7,IT Services & Consulting | Bangalore / Bengaluru +393 other locations,92.4k,8.8L,133
Accenture,3.8,IT Services & Consulting | Bangalore / Bengaluru +212 other locations,58.4k,5.9L,16.7k
Wipro,3.7,IT Services & Consulting | Bangalore / Bengaluru +343 other locations,54.5k,4.5L,2.1k
Cognizant,3.7,IT Services & Consulting | Chennai +199 other locations,51.7k,5.7L,256
Capgemini,3.7,IT Services & Consulting | Bangalore / Bengaluru +169 other locations,43.2k,4.3L,2k
HDFC Bank,3.9,Banking | Mumbai +1667 other locations,40.8k,1.4L,519
Infosys,3.6,IT Services & Consulting | Bangalore / Bengaluru +218 other locations,40.6k,4.7L,1.9k
ICICI Bank,4.0,Banking | Mumbai +1357 other locations,39.1k,1.5L,1
HCLTech,3.5,IT Services & Consulting | Chennai +209 other locations,37.3k,3.3L,194
Tech Mahindra,3.5,IT Services & Consulting | Hyderabad / Secunderabad +296 other locations,36.2k,2.7L,655
Genpact,3.8,IT Services & Consulting | Hyderabad / Secunderabad +145 other locations,32.5k,2.1L,491
Teleperformance,3.9,BPO | Mumbai +217 other locations,30.5k,91.9k,442
Concentrix Corporation,3.8,BPO | Bangalore / Bengaluru +150 other locations,27.1k,1.2L,99
Axis Bank,3.8,Banking | Mumbai +1391 other locations,26.2k,99.9k,179
Amazon,4.1,Internet | Bangalore / Bengaluru +468 other locations,25.8k,1.3L,2.4k
Jio,4.0,Telecom | Mumbai +1320 other locations,23.9k,63k,146
iEnergizer,4.6,BPO | Noida +42 other locations,23.2k,22.8k,237
Reliance Retail,3.9,Retail | Mumbai +1065 other locations,23k,66.8k,79
IBM,4.0,IT Services & Consulting | Bangalore / Bengaluru +245 other locations,23k,2L,993
LTIMindtree,3.8,IT Services & Consulting | Bangalore / Bengaluru +129 other locations,21.7k,1.7L,326
